time_iso8601,stars_cumulative
2021-04-15 00:00:00+00:00,1
2021-08-30 00:00:00+00:00,2
2022-11-28 00:00:00+00:00,3
2023-06-17 00:00:00+00:00,4
2023-07-29 00:00:00+00:00,5
2023-11-01 00:00:00+00:00,6
2023-11-17 00:00:00+00:00,7
2023-11-22 00:00:00+00:00,8
2023-11-23 00:00:00+00:00,9
2024-02-14 00:00:00+00:00,10
2024-03-07 00:00:00+00:00,11
2024-07-17 00:00:00+00:00,12
2024-09-21 00:00:00+00:00,13
2024-10-02 00:00:00+00:00,14
2024-12-16 00:00:00+00:00,15
2025-01-23 00:00:00+00:00,16
2025-01-26 00:00:00+00:00,17
2025-01-28 00:00:00+00:00,18
2025-01-29 00:00:00+00:00,19
2025-02-07 00:00:00+00:00,20
2025-03-06 00:00:00+00:00,22
2025-03-07 00:00:00+00:00,23
2025-03-24 00:00:00+00:00,24
2025-03-31 00:00:00+00:00,25
2025-04-24 00:00:00+00:00,26
2025-05-16 00:00:00+00:00,27
2025-08-06 00:00:00+00:00,28
2025-08-07 00:00:00+00:00,29
2025-09-03 00:00:00+00:00,30
2025-09-05 00:00:00+00:00,31
2025-10-21 00:00:00+00:00,32
